Material,Wood
Geometry,Rectangular
Width,"17.75460",mm
Thickness,"1.60020",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"17.90000","0.26536","668.90643"
"18.00000","0.26698","676.99768"
"18.10000","0.26826","683.83337"
"18.20000","0.26963","690.16003"
"18.30000","0.27099","696.93561"
"18.40000","0.27270","705.24762"
"18.50000","0.27441","713.78949"
"18.60000","0.27586","721.20361"
"18.70000","0.27731","727.75061"
"18.80000","0.27859","734.34814"
"18.90000","0.28004","741.21887"
"19.00000","0.28158","748.78705"
"19.10000","0.28312","756.47125"
"19.20000","0.28457","763.21716"
"19.30000","0.28594","763.28290"
"19.40000","0.28739","770.40863"
"19.50000","0.28901","778.67114"
"19.60000","0.29063","786.76843"
"19.70000","0.29208","794.02325"
"19.80000","0.29353","800.85168"
"19.90000","0.29490","807.42468"
"20.00000","0.29644","814.54858"
"20.10000","0.29806","822.24438"
"20.20000","0.29951","829.60205"
"20.30000","0.30088","836.08160"
"20.40000","0.30216","841.97327"
"20.50000","0.30361","848.28326"
"20.60000","0.30532","856.24127"
"20.70000","0.30702","864.64496"
"20.80000","0.30848","871.77637"
"20.90000","0.30984","878.10083"
"21.00000","0.31121","884.26703"
"21.10000","0.31266","890.38110"
"21.20000","0.31420","897.53546"
"21.30000","0.31573","904.54639"
"21.40000","0.31710","911.31061"
"21.50000","0.31855","917.33722"
"21.60000","0.32000","923.91705"
"21.70000","0.32162","931.20508"
"21.80000","0.32325","938.49823"
"21.90000","0.32470","945.29083"
"22.00000","0.32606","951.06555"
"22.10000","0.32743","956.96777"
"22.20000","0.32897","963.70691"
"22.30000","0.33067","970.98956"
"22.40000","0.33213","977.80713"
"22.50000","0.33349","983.56665"
"22.60000","0.33477","989.18701"
"22.70000","0.33614","994.75055"
"22.80000","0.33793","1,002.27057"
"22.90000","0.33964","1,009.91187"
"23.00000","0.34109","1,016.13586"
"23.10000","0.34246","1,019.95709"
"23.20000","0.34382","1,023.52704"
"23.30000","0.34519","1,029.28271"
"23.40000","0.34681","1,036.05200"
"23.50000","0.34835","1,043.03125"
"23.60000","0.34971","1,049.43188"
"23.70000","0.35108","1,054.94812"
"23.80000","0.35262","1,061.17041"
"23.90000","0.35424","1,068.54956"
"24.00000","0.35586","1,075.74756"
"24.10000","0.35723","1,081.52271"
"24.20000","0.35868","1,087.35828"
"24.30000","0.36005","1,093.16492"
"24.40000","0.36167","1,099.60620"
"24.50000","0.36320","1,106.40247"
"24.60000","0.36474","1,113.05554"
"24.70000","0.36611","1,118.40027"
"24.80000","0.36739","1,123.50500"
"24.90000","0.36875","1,129.13660"
"25.00000","0.37055","1,136.29797"
"25.10000","0.37217","1,143.91077"
"25.20000","0.37362","1,150.10535"
"25.30000","0.37499","1,155.62683"
"25.40000","0.37644","1,161.12756"
"25.50000","0.37780","1,166.68750"
"25.60000","0.37943","1,173.22864"
"25.70000","0.38096","1,179.72363"
"25.80000","0.38233","1,185.83264"
"25.90000","0.38370","1,190.92053"
"26.00000","0.38523","1,196.89014"
"26.10000","0.38685","1,204.05798"
"26.20000","0.38848","1,210.65234"
"26.30000","0.38984","1,216.70947"
"26.40000","0.39129","1,222.10864"
"26.50000","0.39266","1,227.64380"
"26.60000","0.39420","1,234.03186"
"26.70000","0.39590","1,240.92603"
"26.80000","0.39727","1,246.95520"
"26.90000","0.39872","1,252.49963"
"27.00000","0.40000","1,257.56775"
"27.10000","0.40137","1,263.10840"
"27.20000","0.40308","1,270.06409"
"27.30000","0.40478","1,277.79419"
"27.40000","0.40624","1,283.62085"
