Material,Steel
Geometry,Rectangular
Width,"0.12700",mm
Thickness,"12.75080",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"18.20000","0.30856","655.14221"
"18.30000","0.31010","659.32336"
"18.40000","0.31172","663.87604"
"18.50000","0.31334","668.52881"
"18.60000","0.31514","673.55133"
"18.70000","0.31684","678.46136"
"18.80000","0.31838","682.84137"
"18.90000","0.32009","687.53607"
"19.00000","0.32197","692.87775"
"19.10000","0.32376","698.05591"
"19.20000","0.32538","702.84357"
"19.30000","0.32692","707.11536"
"19.40000","0.32863","711.74597"
"19.50000","0.33050","716.98846"
"19.60000","0.33221","722.25946"
"19.70000","0.33375","726.51221"
"19.80000","0.33520","730.55511"
"19.90000","0.33691","734.97253"
"20.00000","0.33896","741.00055"
"20.10000","0.34083","746.39606"
"20.20000","0.34237","750.62384"
"20.30000","0.34391","755.03833"
"20.40000","0.34553","759.42883"
"20.50000","0.34732","764.46399"
"20.60000","0.34903","769.41339"
"20.70000","0.35057","773.87372"
"20.80000","0.35219","778.34875"
"20.90000","0.35415","783.53076"
"21.00000","0.35595","788.94385"
"21.10000","0.35757","793.34821"
"21.20000","0.35919","797.70728"
"21.30000","0.36081","802.36890"
"21.40000","0.36269","807.35919"
"21.50000","0.36440","812.44116"
"21.60000","0.36594","816.82629"
"21.70000","0.36747","820.71954"
"21.80000","0.36910","825.08386"
"21.90000","0.37106","830.79083"
"22.00000","0.37302","836.26300"
"22.10000","0.37456","840.62549"
"22.20000","0.37610","844.70251"
"22.30000","0.37772","849.17065"
"22.40000","0.37951","853.92291"
"22.50000","0.38122","858.84973"
"22.60000","0.38284","863.39197"
"22.70000","0.38446","867.58356"
"22.80000","0.38626","872.42352"
"22.90000","0.38814","877.72375"
"23.00000","0.38976","882.45215"
"23.10000","0.39138","886.69769"
"23.20000","0.39300","890.95599"
"23.30000","0.39479","895.92664"
"23.40000","0.39659","900.91010"
"23.50000","0.39821","905.26117"
"23.60000","0.39966","909.45093"
"23.70000","0.40120","913.48712"
"23.80000","0.40316","918.56824"
"23.90000","0.40513","924.30585"
"24.00000","0.40675","928.76709"
"24.10000","0.40828","932.92944"
"24.20000","0.40991","937.10797"
"24.30000","0.41161","941.75128"
"24.40000","0.41341","946.68195"
"24.50000","0.41503","951.14911"
"24.60000","0.41657","954.86224"
"24.70000","0.41844","959.90710"
"24.80000","0.42032","965.05731"
"24.90000","0.42195","969.84741"
"25.00000","0.42357","973.97900"
"25.10000","0.42519","978.11835"
"25.20000","0.42698","982.86926"
"25.30000","0.42878","987.98224"
"25.40000","0.43040","992.08954"
"25.50000","0.43185","996.13989"
"25.60000","0.43339","999.92303"
"25.70000","0.43526","1,004.85028"
"25.80000","0.43731","1,010.40149"
"25.90000","0.43894","1,015.25775"
"26.00000","0.44056","1,019.19995"
"26.10000","0.44209","1,023.25311"
"26.20000","0.44380","1,027.58972"
"26.30000","0.44560","1,032.41956"
"26.40000","0.44730","1,036.95483"
"26.50000","0.44875","1,040.73291"
"26.60000","0.45055","1,045.34631"
"26.70000","0.45243","1,050.49023"
"26.80000","0.45413","1,055.37341"
"26.90000","0.45576","1,059.30859"
"27.00000","0.45729","1,063.49438"
"27.10000","0.45909","1,068.03442"
"27.20000","0.46096","1,073.05554"
"27.30000","0.46259","1,077.58423"
"27.40000","0.46412","1,081.50061"
"27.50000","0.46557","1,085.20593"
"27.60000","0.46737","1,089.80017"
"27.70000","0.46942","1,095.28735"
"27.80000","0.47112","1,099.98364"
"27.90000","0.47275","1,103.97717"
"28.00000","0.47428","1,108.18323"
"28.10000","0.47599","1,112.39734"
"28.20000","0.47778","1,117.10583"
"28.30000","0.47949","1,121.65125"
"28.40000","0.48094","1,125.69299"
"28.50000","0.48265","1,129.88806"
"28.60000","0.48461","1,134.87195"
"28.70000","0.48632","1,139.76831"
"28.80000","0.48794","1,143.85474"
"28.90000","0.48957","1,148.03040"
"29.00000","0.49119","1,152.16699"
"29.10000","0.49307","1,156.99060"
"29.20000","0.49477","1,161.70361"
"29.30000","0.49631","1,165.43701"
"29.40000","0.49776","1,169.09119"
"29.50000","0.49947","1,173.51929"
"29.60000","0.50143","1,178.58496"
"29.70000","0.50340","1,183.83398"
"29.80000","0.50493","1,187.79053"
"29.90000","0.50647","1,191.55042"
"30.00000","0.50809","1,195.56970"
"30.10000","0.50989","1,200.21838"
"30.20000","0.51159","1,204.84607"
"30.30000","0.51322","1,208.92017"
"30.40000","0.51475","1,212.68860"
"30.50000","0.51663","1,217.70911"
"30.60000","0.51851","1,222.52783"
"30.70000","0.52013","1,226.72925"
"30.80000","0.52175","1,230.62170"
"30.90000","0.52338","1,234.73303"
"31.00000","0.52525","1,239.44763"
"31.10000","0.52696","1,243.96753"
"31.20000","0.52850","1,248.06567"
"31.30000","0.53004","1,251.63818"
"31.40000","0.53166","1,255.77832"
"31.50000","0.53362","1,260.73914"
"31.60000","0.53559","1,266.01147"
"31.70000","0.53712","1,269.95789"
"31.80000","0.53866","1,273.70264"
"31.90000","0.54028","1,277.77783"
"32.00000","0.54199","1,282.09973"
"32.10000","0.54378","1,286.68799"
"32.20000","0.54532","1,290.68604"
"32.30000","0.54694","1,294.56873"
"32.40000","0.54882","1,299.19946"
"32.50000","0.55070","1,303.97375"
"32.60000","0.55232","1,308.41907"
"32.70000","0.55394","1,312.22412"
"32.80000","0.55556","1,316.09338"
"32.90000","0.55736","1,320.44910"
"33.00000","0.55915","1,325.33716"
"33.10000","0.56069","1,329.11902"
"33.20000","0.56222","1,332.73596"
"33.30000","0.56376","1,336.51819"
"33.40000","0.56564","1,341.06995"
"33.50000","0.56769","1,346.55640"
"33.60000","0.56931","1,350.59485"
"33.70000","0.57085","1,354.30774"
"33.80000","0.57247","1,358.18347"
"33.90000","0.57418","1,362.37805"
"34.00000","0.57597","1,366.83154"
"34.10000","0.57759","1,371.01501"
"34.20000","0.57913","1,374.60132"
"34.30000","0.58092","1,378.78931"
"34.40000","0.58280","1,383.66919"
"34.50000","0.58451","1,388.25818"
"34.60000","0.58613","1,392.02832"
"34.70000","0.58775","1,395.78613"
"34.80000","0.58946","1,399.99634"
"34.90000","0.59134","1,404.78101"
"35.00000","0.59296","1,408.99719"
"35.10000","0.59450","1,412.37317"
"35.20000","0.59595","1,416.02771"
"35.30000","0.59783","1,420.39929"
"35.40000","0.59979","1,425.53357"
"35.50000","0.60150","1,429.80835"
"35.60000","0.60304","1,433.53870"
"35.70000","0.60466","1,437.37744"
"35.80000","0.60636","1,441.29712"
"35.90000","0.60816","1,445.76672"
"36.00000","0.60978","1,449.85962"
"36.10000","0.61132","1,453.32788"
"36.20000","0.61311","1,457.50049"
"36.30000","0.61499","1,462.19897"
"36.40000","0.61670","1,466.63989"
"36.50000","0.61832","1,470.46924"
"36.60000","0.61977","1,473.91516"
"36.70000","0.62156","1,478.13843"
"36.80000","0.62353","1,482.92334"
"36.90000","0.62523","1,487.10156"
"37.00000","0.62669","1,490.42322"
"37.10000","0.62814","1,493.86536"
"37.20000","0.62993","1,497.85901"
"37.30000","0.63198","1,502.93274"
"37.40000","0.63377","1,507.61047"
"37.50000","0.63531","1,511.09961"
"37.60000","0.63693","1,514.89233"
"37.70000","0.63855","1,518.59851"
"37.80000","0.64026","1,522.80261"
"37.90000","0.64197","1,527.11121"
"38.00000","0.64351","1,530.59216"
"38.10000","0.64521","1,534.35632"
"38.20000","0.64709","1,539.07703"
"38.30000","0.64897","1,543.60547"
"38.40000","0.65051","1,547.41187"
"38.50000","0.65213","1,550.97083"
"38.60000","0.65375","1,554.79773"
"38.70000","0.65563","1,559.27686"
"38.80000","0.65742","1,563.69189"
"38.90000","0.65887","1,567.08423"
"39.00000","0.66041","1,570.47644"
"39.10000","0.66203","1,574.35681"
"39.20000","0.66400","1,578.98425"
"39.30000","0.66596","1,583.88257"
"39.40000","0.66750","1,587.51990"
"39.50000","0.66912","1,591.03369"
"39.60000","0.67066","1,594.68140"
"39.70000","0.67245","1,598.73340"
"39.80000","0.67416","1,602.80884"
"39.90000","0.67569","1,606.39246"
"40.00000","0.67732","1,610.03577"
"40.10000","0.67919","1,614.36902"
"40.20000","0.68107","1,618.90942"
"40.30000","0.68269","1,622.93506"
"40.40000","0.68432","1,626.49988"
"40.50000","0.68594","1,630.16675"
"40.60000","0.68765","1,634.19617"
"40.70000","0.68952","1,638.69592"
"40.80000","0.69115","1,642.33020"
"40.90000","0.69251","1,645.49622"
"41.00000","0.69413","1,648.98267"
"41.10000","0.69618","1,653.71777"
"41.20000","0.69815","1,658.64465"
"41.30000","0.69968","1,662.37671"
"41.40000","0.70122","1,665.82385"
"41.50000","0.70284","1,669.16296"
"41.60000","0.70455","1,672.98132"
"41.70000","0.70634","1,677.09961"
"41.80000","0.70788","1,680.90808"
"41.90000","0.70950","1,684.57458"
"42.00000","0.71138","1,688.54102"
"42.10000","0.71326","1,693.10291"
"42.20000","0.71488","1,697.03003"
"42.30000","0.71650","1,700.48755"
"42.40000","0.71804","1,703.97070"
"42.50000","0.71983","1,708.00806"
"42.60000","0.72180","1,712.62085"
"42.70000","0.72333","1,716.29846"
"42.80000","0.72479","1,719.41394"
"42.90000","0.72632","1,722.66785"
"43.00000","0.72829","1,726.94580"
"43.10000","0.73034","1,731.98926"
"43.20000","0.73196","1,735.72034"
"43.30000","0.73349","1,739.00159"
"43.40000","0.73503","1,742.49133"
"43.50000","0.73674","1,746.14917"
"43.60000","0.73845","1,750.06482"
"43.70000","0.74007","1,753.74414"
"43.80000","0.74178","1,757.49585"
"43.90000","0.74348","1,760.58191"
"44.00000","0.74536","1,763.72412"
"44.10000","0.74707","1,767.64990"
"44.20000","0.74869","1,771.13232"
"44.30000","0.75031","1,774.44409"
"44.40000","0.75194","1,777.86353"
"44.50000","0.75390","1,782.09143"
"44.60000","0.75552","1,786.23633"
"44.70000","0.75706","1,789.40137"
"44.80000","0.75851","1,792.34485"
"44.90000","0.76039","1,796.29590"
"45.00000","0.76244","1,801.27148"
"45.10000","0.76415","1,805.27368"
"45.20000","0.76568","1,808.27002"
"45.30000","0.76722","1,811.73792"
"45.40000","0.76893","1,815.31921"
"45.50000","0.77063","1,819.30469"
"45.60000","0.77226","1,822.88965"
"45.70000","0.77388","1,826.40564"
"45.80000","0.77559","1,829.96838"
"45.90000","0.77755","1,834.38184"
"46.00000","0.77934","1,838.44641"
"46.10000","0.78088","1,841.87708"
"46.20000","0.78242","1,845.22375"
"46.30000","0.78412","1,848.71985"
"46.40000","0.78609","1,853.17334"
"46.50000","0.78780","1,857.01013"
"46.60000","0.78925","1,860.15955"
"46.70000","0.79070","1,863.13501"
"46.80000","0.79249","1,866.70483"
"46.90000","0.79454","1,871.50281"
"47.00000","0.79633","1,875.62561"
"47.10000","0.79787","1,878.92334"
"47.20000","0.79941","1,882.04224"
"47.30000","0.80103","1,885.40491"
"47.40000","0.80282","1,889.23608"
"47.50000","0.80453","1,893.06812"
"47.60000","0.80615","1,896.59790"
"47.70000","0.80778","1,899.92224"
"47.80000","0.80965","1,903.81079"
"47.90000","0.81145","1,907.75305"
"48.00000","0.81307","1,911.27539"
"48.10000","0.81461","1,914.50464"
"48.20000","0.81623","1,917.68054"
"48.30000","0.81819","1,921.96790"
"48.40000","0.81998","1,926.06042"
"48.50000","0.82152","1,929.09729"
"48.60000","0.82289","1,931.95776"
"48.70000","0.82459","1,935.01709"
