Specimen choice input : Material,Steel
Specimen properties : Geometry,Rectangular
Specimen properties : Width,"13.03000",mm
Specimen properties : Thickness,"3.57000",mm

Time,Extension,Load
(s),(mm),(N)
"17.20000","-1.76957","225.60226"
"17.30000","-1.76906","226.79779"
"17.40000","-1.76864","228.07925"
"17.50000","-1.76812","229.31009"
"17.60000","-1.76770","230.60898"
"17.70000","-1.76718","231.86652"
"17.80000","-1.76667","233.18723"
"17.90000","-1.76625","234.43796"
"18.00000","-1.76573","235.66879"
"18.10000","-1.76531","236.93193"
"18.20000","-1.76479","238.11414"
"18.30000","-1.76437","239.40755"
"18.40000","-1.76394","240.61530"
"18.50000","-1.76343","241.87949"
"18.60000","-1.76300","243.09489"
"18.70000","-1.76249","244.34726"
"18.80000","-1.76206","245.57652"
"18.90000","-1.76155","246.77815"
"19.00000","-1.76112","248.12497"
"19.10000","-1.76061","249.37253"
"19.20000","-1.76018","250.66078"
"19.30000","-1.75967","251.91327"
"19.40000","-1.75924","253.16881"
"19.50000","-1.75873","254.42717"
"19.60000","-1.75830","255.71544"
"19.70000","-1.75779","256.94922"
"19.80000","-1.75737","258.18915"
"19.90000","-1.75685","259.47388"
"20.00000","-1.75643","260.68060"
"20.10000","-1.75591","261.89783"
"20.20000","-1.75549","263.18027"
"20.30000","-1.75506","264.37006"
"20.40000","-1.75455","265.60095"
"20.50000","-1.75412","266.82993"
"20.60000","-1.75361","268.11166"
"20.70000","-1.75318","269.31021"
"20.80000","-1.75267","270.59464"
"20.90000","-1.75224","271.87125"
"21.00000","-1.75173","273.12814"
"21.10000","-1.75130","274.38461"
"21.20000","-1.75079","275.67361"
"21.30000","-1.75036","276.96042"
"21.40000","-1.74985","278.20981"
"21.50000","-1.74943","279.47668"
"21.60000","-1.74891","280.72876"
"21.70000","-1.74849","281.93179"
"21.80000","-1.74806","283.21692"
"21.90000","-1.74755","284.42413"
"22.00000","-1.74712","285.65738"
"22.10000","-1.74669","286.92294"
"22.20000","-1.74618","288.12546"
"22.30000","-1.74575","289.42401"
"22.40000","-1.74524","290.65186"
"22.50000","-1.74481","291.91483"
"22.60000","-1.74430","293.18719"
"22.70000","-1.74388","294.45401"
"22.80000","-1.74336","295.71533"
"22.90000","-1.74294","296.96594"
"23.00000","-1.74251","298.23093"
"23.10000","-1.74200","299.51907"
"23.20000","-1.74157","300.75259"
"23.30000","-1.74106","302.03632"
"23.40000","-1.74063","303.26593"
"23.50000","-1.74020","304.50940"
"23.60000","-1.73978","305.68103"
"23.70000","-1.73927","306.95206"
"23.80000","-1.73884","308.21426"
"23.90000","-1.73833","309.45630"
"24.00000","-1.73790","310.71127"
"24.10000","-1.73747","311.95547"
"24.20000","-1.73696","313.19983"
"24.30000","-1.73653","314.49945"
"24.40000","-1.73602","315.74683"
"24.50000","-1.73559","316.96494"
"24.60000","-1.73508","318.28467"
"24.70000","-1.73465","319.55310"
"24.80000","-1.73423","320.80377"
"24.90000","-1.73372","322.03281"
"25.00000","-1.73329","323.36212"
"25.10000","-1.73278","324.56360"
"25.20000","-1.73235","325.80420"
"25.30000","-1.73192","327.04431"
"25.40000","-1.73141","328.24664"
"25.50000","-1.73098","329.49774"
"25.60000","-1.73056","330.72025"
"25.70000","-1.73013","331.98346"
"25.80000","-1.72962","333.21378"
"25.90000","-1.72919","334.44873"
"26.00000","-1.72876","335.71634"
"26.10000","-1.72825","336.99228"
"26.20000","-1.72782","338.27014"
"26.30000","-1.72731","339.55780"
"26.40000","-1.72688","340.84393"
"26.50000","-1.72637","342.07297"
"26.60000","-1.72595","343.37839"
"26.70000","-1.72543","344.59027"
"26.80000","-1.72501","345.87241"
"26.90000","-1.72458","347.10077"
"27.00000","-1.72415","348.36237"
"27.10000","-1.72364","349.56601"
"27.20000","-1.72321","350.82996"
"27.30000","-1.72279","352.02954"
"27.40000","-1.72236","353.30661"
"27.50000","-1.72185","354.49200"
"27.60000","-1.72142","355.71527"
"27.70000","-1.72099","356.93588"
"27.80000","-1.72048","358.26486"
"27.90000","-1.72005","359.49628"
"28.00000","-1.71963","360.78003"
"28.10000","-1.71912","362.02209"
"28.20000","-1.71869","363.33603"
"28.30000","-1.71826","364.59769"
"28.40000","-1.71775","365.87088"
"28.50000","-1.71732","367.13248"
"28.60000","-1.71690","368.36542"
"28.70000","-1.71638","369.64624"
"28.80000","-1.71596","370.85580"
"28.90000","-1.71553","372.12506"
"29.00000","-1.71510","373.33542"
"29.10000","-1.71468","374.57700"
"29.20000","-1.71416","375.78262"
