Material,Steel
Geometry,Rectangular
Width,"3.50000",mm
Thickness,"2.51400",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","69.87323"
"0.10000","0.00017","69.92979"
"0.20000","0.00145","73.26000"
"0.30000","0.00427","79.16700"
"0.40000","0.00657","82.59832"
"0.50000","0.00871","85.92648"
"0.60000","0.01033","88.49381"
"0.70000","0.01187","91.11246"
"0.80000","0.01349","93.83125"
"0.90000","0.01520","96.93221"
"1.00000","0.01699","100.30876"
"1.10000","0.01861","103.66654"
"1.20000","0.02023","106.82980"
"1.30000","0.02194","110.33407"
"1.40000","0.02374","113.73607"
"1.50000","0.02553","116.94449"
"1.60000","0.02715","119.56973"
"1.70000","0.02869","122.15467"
"1.80000","0.03048","125.64558"
"1.90000","0.03244","129.36206"
"2.00000","0.03398","132.51031"
"2.10000","0.03552","135.65779"
"2.20000","0.03697","139.04826"
"2.30000","0.03885","143.75475"
"2.40000","0.04090","149.71873"
"2.50000","0.04260","155.12500"
"2.60000","0.04414","160.48822"
"2.70000","0.04568","166.36349"
"2.80000","0.04739","172.67648"
"2.90000","0.04918","179.79411"
"3.00000","0.05089","186.21875"
"3.10000","0.05234","191.81119"
"3.20000","0.05405","198.12794"
"3.30000","0.05592","205.31677"
"3.40000","0.05772","212.29543"
"3.50000","0.05934","218.42575"
"3.60000","0.06096","224.94463"
"3.70000","0.06258","231.91476"
"3.80000","0.06455","240.43626"
"3.90000","0.06625","247.88960"
"4.00000","0.06771","254.17950"
"4.10000","0.06916","260.76801"
"4.20000","0.07095","268.42108"
"4.30000","0.07291","278.40872"
"4.40000","0.07479","287.14810"
"4.50000","0.07633","294.08240"
"4.60000","0.07795","302.15085"
"4.70000","0.07957","310.57309"
"4.80000","0.08128","319.91321"
"4.90000","0.08299","329.28970"
"5.00000","0.08453","338.06161"
"5.10000","0.08615","348.11032"
"5.20000","0.08803","360.71469"
"5.30000","0.08990","374.28040"
"5.40000","0.09153","386.99518"
"5.50000","0.09306","399.30936"
"5.60000","0.09477","412.47421"
"5.70000","0.09656","428.24249"
"5.80000","0.09844","444.54773"
"5.90000","0.09989","457.11884"
"6.00000","0.10135","469.12280"
"6.10000","0.10305","482.89243"
