Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Specimen properties : Width,5.59024,mm
Specimen properties : Thickness,5.59024,mm
,,
Time,Extension,Load
(s),(mm),(N)
0.00,0.01,9.37
0.10,0.01,17.54
0.20,0.01,17.53
0.30,0.01,17.51
0.40,0.01,19.52
0.50,0.01,21.32
0.60,0.01,22.70
0.70,0.01,23.96
0.80,0.01,25.27
0.90,0.01,26.59
1.00,0.01,27.91
1.10,0.01,29.20
1.20,0.01,30.57
1.30,0.01,31.87
1.40,0.01,33.21
1.50,0.01,34.53
1.60,0.01,35.88
1.70,0.01,37.19
1.80,0.01,38.49
1.90,0.01,39.77
2.00,0.01,41.14
2.10,0.01,42.50
2.20,0.01,43.82
2.30,0.01,45.14
2.40,0.01,46.46
2.50,0.01,47.81
2.60,0.01,49.08
2.70,0.02,50.45
2.80,0.02,51.64
2.90,0.02,52.99
3.00,0.02,54.23
3.10,0.02,55.68
3.20,0.02,56.87
3.30,0.02,58.31
3.40,0.02,59.57
3.50,0.02,60.95
3.60,0.02,62.21
3.70,0.02,63.52
3.80,0.02,64.82
3.90,0.02,66.14
4.00,0.02,67.46
4.10,0.02,68.81
4.20,0.02,70.15
4.30,0.02,71.50
4.40,0.02,72.82
4.50,0.02,74.14
4.60,0.02,75.41
4.70,0.02,76.73
4.80,0.02,78.03
4.90,0.02,79.35
5.00,0.02,80.67
5.10,0.02,81.98
5.20,0.02,83.25
5.30,0.02,84.58
5.40,0.02,86.04
5.50,0.02,87.19
5.60,0.03,88.55
5.70,0.03,89.90
5.80,0.03,91.18
5.90,0.03,92.48
6.00,0.03,93.83
6.10,0.03,95.12
6.20,0.03,96.41
6.30,0.03,97.83
6.40,0.03,99.15
6.50,0.03,100.41
6.60,0.03,101.86
6.70,0.03,103.11
6.80,0.03,104.48
6.90,0.03,105.80
7.00,0.03,107.15
7.10,0.03,108.24
7.20,0.03,109.62
7.30,0.03,110.91
7.40,0.03,112.28
7.50,0.03,113.76
7.60,0.03,115.10
7.70,0.03,116.18
7.80,0.03,117.61
7.90,0.03,118.74
8.00,0.03,120.08
8.10,0.03,121.67
8.20,0.03,122.91
8.30,0.03,124.10
8.40,0.03,125.54
8.50,0.04,126.68
8.60,0.04,127.97
8.70,0.04,129.39
8.80,0.04,130.74
8.90,0.04,132.12
9.00,0.04,133.46
9.10,0.04,134.67
9.20,0.04,135.92
9.30,0.04,137.26
9.40,0.04,138.70
9.50,0.04,140.05
9.60,0.04,141.32
9.70,0.04,142.60
9.80,0.04,143.90
9.90,0.04,145.22
10.00,0.04,146.46
10.10,0.04,147.88
10.20,0.04,149.15
10.30,0.04,150.49
10.40,0.04,151.72
10.50,0.04,153.11
10.60,0.04,154.36
10.70,0.04,155.74
10.80,0.04,157.01
10.90,0.04,158.39
11.00,0.04,159.60
11.10,0.04,160.98
11.20,0.04,162.23
11.30,0.04,163.64
11.40,0.04,164.93
11.50,0.04,166.35
11.60,0.05,167.64
11.70,0.05,168.98
11.80,0.05,170.28
11.90,0.05,171.62
12.00,0.05,172.89
12.10,0.05,174.21
12.20,0.05,175.52
12.30,0.05,176.83
12.40,0.05,178.16
12.50,0.05,179.44
12.60,0.05,180.82
12.70,0.05,182.12
12.80,0.05,183.39
12.90,0.05,184.70
13.00,0.05,185.99
13.10,0.05,187.33
13.20,0.05,188.61
13.30,0.05,189.99
13.40,0.05,191.30
13.50,0.05,192.66
13.60,0.05,193.97
13.70,0.05,195.34
13.80,0.05,196.65
13.90,0.05,197.90
14.00,0.05,199.27
14.10,0.05,200.55
14.20,0.05,201.86
14.30,0.05,203.21
14.40,0.05,204.58
14.50,0.05,205.81
14.60,0.05,207.22
14.70,0.05,208.44
14.80,0.06,209.82
14.90,0.06,211.05
15.00,0.06,212.43
15.10,0.06,213.65
15.20,0.06,215.01
15.30,0.06,216.29
15.40,0.06,217.66
15.50,0.06,218.93
15.60,0.06,220.34
15.70,0.06,221.63
15.80,0.06,222.94
15.90,0.06,224.22
16.00,0.06,225.54
16.10,0.06,226.87
16.20,0.06,228.21
16.30,0.06,229.52
16.40,0.06,230.87
16.50,0.06,232.19
16.60,0.06,233.51
16.70,0.06,234.83
16.80,0.06,236.15
16.90,0.06,237.44
17.00,0.06,238.75
17.10,0.06,240.08
17.20,0.06,241.43
17.30,0.06,242.74
17.40,0.06,244.03
17.50,0.06,245.39
17.60,0.06,246.66
17.70,0.06,247.93
17.80,0.06,249.28
17.90,0.06,250.55
18.00,0.07,251.87
18.10,0.07,253.22
18.20,0.07,254.54
18.30,0.07,255.90
18.40,0.07,257.20
18.50,0.07,258.48
18.60,0.07,259.78
18.70,0.07,261.14
18.80,0.07,262.42
18.90,0.07,263.75
19.00,0.07,265.04
19.10,0.07,266.49
19.20,0.07,267.72
19.30,0.07,269.10
19.40,0.07,270.38
19.50,0.07,271.74
19.60,0.07,272.99
19.70,0.07,274.34
19.80,0.07,275.64
19.90,0.07,276.99
20.00,0.07,278.32
20.10,0.07,279.60
20.20,0.07,280.95
20.30,0.07,282.27
20.40,0.07,283.54
20.50,0.07,284.84
20.60,0.07,286.14
20.70,0.07,287.43
20.80,0.07,288.82
20.90,0.07,290.11
21.00,0.07,291.43
21.10,0.07,292.75
21.20,0.07,294.03
21.30,0.07,295.33
21.40,0.07,296.62
21.50,0.08,297.97
21.60,0.08,299.31
21.70,0.08,300.60
21.80,0.08,301.93
21.90,0.08,303.24
22.00,0.08,304.65
22.10,0.08,305.92
22.20,0.08,307.26
22.30,0.08,308.54
22.40,0.08,309.89
22.50,0.08,311.21
22.60,0.08,312.52
22.70,0.08,313.79
22.80,0.08,315.18
22.90,0.08,316.50
23.00,0.08,317.82
23.10,0.08,319.15
23.20,0.08,320.40
23.30,0.08,321.74
23.40,0.08,323.05
23.50,0.08,324.33
23.60,0.08,325.70
23.70,0.08,326.95
23.80,0.08,328.29
23.90,0.08,329.56
24.00,0.08,330.98
24.10,0.08,332.23
24.20,0.08,333.61
24.30,0.08,334.85
24.40,0.08,336.21
24.50,0.08,337.50
24.60,0.08,338.87
24.70,0.08,340.15
24.80,0.08,341.49
24.90,0.08,342.81
25.00,0.08,344.12
25.10,0.08,345.46
25.20,0.09,346.75
25.30,0.09,348.06
25.40,0.09,349.44
25.50,0.09,350.73
25.60,0.09,352.04
25.70,0.09,353.35
25.80,0.09,354.70
25.90,0.09,356.04
26.00,0.09,357.33
26.10,0.09,358.66
26.20,0.09,359.96
26.30,0.09,361.31
26.40,0.09,362.62
26.50,0.09,363.88
26.60,0.09,365.18
26.70,0.09,366.47
26.80,0.09,367.81
26.90,0.09,369.16
27.00,0.09,370.43
27.10,0.09,371.77
27.20,0.09,373.11
27.30,0.09,374.43
27.40,0.09,375.72
27.50,0.09,377.10
27.60,0.09,378.36
27.70,0.09,379.67
27.80,0.09,380.96
27.90,0.09,382.34
28.00,0.09,383.65
28.10,0.09,385.03
28.20,0.09,386.30
28.30,0.09,387.63
28.40,0.09,388.92
28.50,0.09,390.29
28.60,0.09,391.56
28.70,0.09,392.89
28.80,0.10,394.24
28.90,0.10,395.52
29.00,0.10,396.87
29.10,0.10,398.14
29.20,0.10,399.51
29.30,0.10,400.74
29.40,0.10,402.08
29.50,0.10,403.44
29.60,0.10,404.72
29.70,0.10,406.03
29.80,0.10,407.35
29.90,0.10,408.63
30.00,0.10,409.99
30.10,0.10,411.24
30.20,0.10,412.60
