Material,Steel,
Geometry,Rectangular,
Width,3.502,mm
Thickness,2.49,mm
Length,50.8,mm
,,
Time,Extension,Load
(s),(mm),(N)
22.90,0.38779,2072.38
23.00,0.38959,2074.6
23.10,0.39104,2074.21
23.20,0.39266,2074.84
23.30,0.39462,2079.05
23.40,0.39642,2082.34
23.50,0.39804,2082.29
23.60,0.39966,2082.32
23.70,0.40128,2083.03
23.80,0.40316,2086.22
23.90,0.40487,2087.84
24.00,0.40641,2086.7
24.10,0.40786,2085.44
24.20,0.40957,2086.2
24.30,0.41161,2089.71
24.40,0.41349,2091.64
24.50,0.41503,2089.61
24.60,0.41657,2087.82
24.70,0.4181,2086.98
24.80,0.41998,2088.69
24.90,0.42177,2090.41
25.00,0.42323,2089.45
25.10,0.42485,2088.33
25.20,0.42673,2089.16
25.30,0.4286,2091.56
25.40,0.43023,2089.91
25.50,0.43185,2087.96
25.60,0.43347,2086.75
25.70,0.43526,2086.99
25.80,0.43714,2086.89
25.90,0.43859,2084.85
26.00,0.44005,2083.03
26.10,0.44167,2083.18
26.20,0.44363,2086
26.30,0.4456,2090.52
26.40,0.44722,2090.08
26.50,0.44875,2089.11
26.60,0.45038,2089.43
26.70,0.45217,2091.13
26.80,0.45388,2092.85
26.90,0.4555,2093.49
27.00,0.45704,2092.59
27.10,0.45883,2094.86
27.20,0.46079,2098.32
27.30,0.46242,2098.89
27.40,0.46404,2098
27.50,0.46566,2097.52
27.60,0.46737,2098.87
27.70,0.46933,2102.12
27.80,0.47087,2102.15
27.90,0.47232,2100
28.00,0.47394,2099.69
28.10,0.47573,2101.99
28.20,0.47778,2106.17
28.30,0.47941,2106.7
28.40,0.48094,2105.23
28.50,0.48256,2104.97
28.60,0.48427,2105.85
28.70,0.48607,2107.42
28.80,0.48769,2107.87
28.90,0.48922,2106.89
29.00,0.49102,2107.8
29.10,0.4929,2109.73
29.20,0.4946,2111.27
29.30,0.49623,2110.02
29.40,0.49768,2108.47
29.50,0.49956,2110.77
29.60,0.50143,2113.75
29.70,0.50306,2113.78
29.80,0.50451,2111.31
29.90,0.50604,2109.67
30.00,0.50784,2111.22
30.10,0.50989,2115.69
30.20,0.51168,2116.43
30.30,0.51322,2114.42
30.40,0.51475,2113.84
30.50,0.51646,2114.16
30.60,0.51825,2115.66
30.70,0.51988,2116.52
30.80,0.52141,2115.11
30.90,0.52312,2115.46
31.00,0.525,2118.44
31.10,0.52688,2120.04
31.20,0.52841,2117.88
31.30,0.52995,2117.06
31.40,0.53166,2116.62
31.50,0.53362,2119.66
31.60,0.53533,2120.8
31.70,0.53678,2118.67
31.80,0.53823,2116.84
31.90,0.53994,2117.81
32.00,0.54199,2121.45
32.10,0.54387,2123.92
32.20,0.5454,2121.58
32.30,0.54694,2120.15
32.40,0.54856,2118.67
32.50,0.55036,2118.9
32.60,0.55206,2119.22
32.70,0.5536,2118.21
32.80,0.55522,2117.53
32.90,0.5571,2119.29
33.00,0.55898,2121.27
33.10,0.5606,2119.69
33.20,0.56222,2118.51
33.30,0.56385,2117.11
33.40,0.56564,2118.34
33.50,0.56752,2120.38
33.60,0.56897,2118.59
33.70,0.57042,2116.32
33.80,0.57204,2115.93
33.90,0.57409,2119.23
34.00,0.57606,2122.18
34.10,0.57759,2120.04
34.20,0.57913,2118.36
34.30,0.58075,2117.41
34.40,0.58254,2118.51
34.50,0.58417,2119.01
34.60,0.58579,2117.3
34.70,0.58741,2116.01
34.80,0.58929,2115.1
34.90,0.59117,2115.45
35.00,0.59279,2114.49
35.10,0.59441,2112.57
35.20,0.59595,2111.07
35.30,0.59783,2112.86
35.40,0.59971,2114.91
35.50,0.60124,2113.1
35.60,0.60269,2111.02
35.70,0.60423,2110.17
35.80,0.60619,2113.03
35.90,0.60824,2117.57
36.00,0.60978,2115.76
36.10,0.6114,2114.14
36.20,0.61294,2113.35
36.30,0.61465,2114.07
36.40,0.61635,2115.05
36.50,0.61798,2115.44
36.60,0.61968,2115.22
36.70,0.62139,2114.61
36.80,0.62327,2113.67
36.90,0.62498,2111.35
37.00,0.6266,2108.72
37.10,0.62814,2107.39
37.20,0.62993,2108.51
37.30,0.63181,2111.91
37.40,0.63343,2111.7
37.50,0.63488,2110.27
37.60,0.63642,2109.19
37.70,0.6383,2112.01
37.80,0.64043,2117.56
37.90,0.64205,2116.85
38.00,0.64359,2114.45
38.10,0.64513,2113.88
38.20,0.64683,2114.27
38.30,0.64854,2115.55
38.40,0.65025,2115.68
38.50,0.65179,2115.38
38.60,0.65349,2115.88
38.70,0.65546,2118.11
38.80,0.65717,2119.43
38.90,0.65879,2117.66
39.00,0.66032,2116.82
39.10,0.66203,2117.13
39.20,0.66408,2120.66
39.30,0.6657,2120.08
39.40,0.66716,2117.79
39.50,0.66861,2115.47
39.60,0.6704,2117.06
39.70,0.67253,2121.34
39.80,0.67424,2122.04
39.90,0.67578,2119.25
40.00,0.67732,2118.35
40.10,0.67894,2117.89
40.20,0.68073,2119.27
40.30,0.68252,2119.58
40.40,0.68406,2117.8
40.50,0.68577,2116.83
40.60,0.68748,2117.78
40.70,0.68927,2118.83
40.80,0.69098,2118.45
40.90,0.69243,2117.01
41.00,0.69422,2116.9
41.10,0.69618,2119.82
41.20,0.69789,2119.69
41.30,0.69943,2117.86
41.40,0.70079,2115
41.50,0.7025,2114.83
41.60,0.70455,2118.36
41.70,0.70643,2119.62
41.80,0.70797,2115.18
41.90,0.7095,2112.11
42.00,0.71113,2109.64
42.10,0.71292,2110.38
42.20,0.71471,2110.69
42.30,0.71625,2108.85
42.40,0.71787,2107.4
42.50,0.71966,2108.28
42.60,0.72154,2109.78
42.70,0.72316,2108.94
42.80,0.7247,2107.86
42.90,0.72632,2107.28
43.00,0.7282,2110.2
43.10,0.73008,2113.01
43.20,0.73162,2111.81
43.30,0.73307,2109.95
43.40,0.7346,2109.8
43.50,0.73665,2113.55
43.60,0.73862,2116.32
43.70,0.74015,2114.2
43.80,0.74178,2112.79
43.90,0.74331,2112.15
44.00,0.74511,2113.29
44.10,0.74681,2114.26
44.20,0.74835,2114.36
44.30,0.74997,2114.04
44.40,0.75177,2115.22
44.50,0.75364,2118.03
44.60,0.75535,2118.53
44.70,0.75697,2117.09
44.80,0.75851,2116.3
44.90,0.7603,2117.84
45.00,0.76227,2120.67
45.10,0.7638,2119.11
45.20,0.76526,2116.94
45.30,0.76679,2116.15
45.40,0.76876,2119.31
45.50,0.77081,2123.49
45.60,0.77234,2121.87
45.70,0.77396,2119.67
45.80,0.7755,2118.96
45.90,0.77721,2119.25
46.00,0.779,2120.34
46.10,0.78062,2120.03
46.20,0.78216,2118.49
46.30,0.78387,2119.05
46.40,0.78583,2121.03
46.50,0.78763,2122.19
46.60,0.78916,2120
46.70,0.79078,2119.14
46.80,0.79249,2118.75
46.90,0.79446,2121.47
47.00,0.79599,2120.17
47.10,0.79744,2118.18
47.20,0.79898,2116.5
47.30,0.80086,2118.5
47.40,0.80291,2123.1
47.50,0.80462,2122.47
47.60,0.80615,2120
47.70,0.80769,2119.45
47.80,0.8094,2119.11
47.90,0.81119,2120.49
48.00,0.81281,2121.14
48.10,0.81435,2119.68
48.20,0.81606,2119.72
48.30,0.81794,2121.61
48.40,0.81973,2123.02
48.50,0.82135,2121.24
48.60,0.82289,2120.02
48.70,0.82459,2119.86
48.80,0.82656,2121.51
48.90,0.82818,2120.96
49.00,0.82972,2117.59
49.10,0.83117,2114.78
49.20,0.83296,2115.04
49.30,0.8351,2118.8
49.40,0.8368,2118.79
49.50,0.83834,2116.07
49.60,0.83988,2114.51
49.70,0.8415,2115.1
49.80,0.84338,2116.94
49.90,0.845,2117.64
50.00,0.84654,2116.35
50.10,0.84824,2115.88
50.20,0.85012,2118.97
50.30,0.852,2120.59
50.40,0.85354,2119.24
50.50,0.85516,2118.62
50.60,0.85687,2118.8
50.70,0.85866,2119.99
50.80,0.86037,2120.96
50.90,0.86191,2119.21
51.00,0.86336,2117.74
51.10,0.86506,2118.66
51.20,0.86711,2122.74
51.30,0.86899,2124.53
51.40,0.87053,2121.88
51.50,0.87198,2119.98
51.60,0.87369,2120.01
51.70,0.87548,2121.67
51.80,0.87719,2122.68
51.90,0.87881,2121.84
52.00,0.88043,2121.07
52.10,0.88223,2123.16
52.20,0.8841,2125.17
52.30,0.88573,2125.03
52.40,0.88726,2123.46
52.50,0.88897,2122.94
52.60,0.89076,2124.41
52.70,0.89256,2126.3
52.80,0.89418,2125.13
52.90,0.89563,2123.47
53.00,0.89717,2122.93
53.10,0.89922,2127.03
53.20,0.90118,2130.63
53.30,0.90272,2128.73
53.40,0.90425,2127.46
53.50,0.90588,2126.65
53.60,0.90767,2128.7
53.70,0.90946,2130.19
53.80,0.911,2129.6
53.90,0.91254,2128.06
54.00,0.91433,2129.56
54.10,0.91629,2131.65
54.20,0.91791,2131.56
54.30,0.91954,2130.08
54.40,0.92116,2130.22
54.50,0.92287,2131.33
54.60,0.92474,2133.86
54.70,0.92637,2133.31
54.80,0.92782,2131.71
54.90,0.92936,2130.88
55.00,0.93132,2134.71
55.10,0.93328,2138.46
55.20,0.93491,2137.42
55.30,0.93644,2135.79
55.40,0.93806,2135.24
55.50,0.93977,2136.98
55.60,0.94156,2138.71
55.70,0.94319,2138.92
55.80,0.94472,2137.48
55.90,0.94652,2139.08
56.00,0.94848,2141.98
56.10,0.9501,2142.67
56.20,0.95172,2141.17
56.30,0.95326,2140.77
56.40,0.95505,2141.73
56.50,0.95693,2144.04
56.60,0.95856,2143.63
56.70,0.96001,2142.63
56.80,0.96154,2140.81
56.90,0.96342,2143.01
57.00,0.96547,2146.17
57.10,0.96709,2144.55
57.20,0.96863,2141.62
57.30,0.97025,2139.69
57.40,0.97196,2140.18
57.50,0.97375,2141.18
57.60,0.97546,2141.74
57.70,0.97683,2139.69
57.80,0.97862,2139.88
57.90,0.98067,2142.76
58.00,0.98238,2142.38
58.10,0.98391,2140.42
58.20,0.98554,2140.33
58.30,0.98733,2140.9
58.40,0.98904,2142.36
58.50,0.99074,2141.66
58.60,0.99228,2140.57
58.70,0.99373,2138.39
58.80,0.99552,2140.23
58.90,0.99757,2144.21
59.00,0.99928,2145.31
59.10,1.00082,2143.29
59.20,1.00235,2142.44
59.30,1.00415,2143.11
59.40,1.00594,2145.11
59.50,1.00765,2145.6
59.60,1.00901,2143.89
59.70,1.01081,2143.9
59.80,1.01269,2147.08
59.90,1.01456,2148.91
60.00,1.0161,2147.5
60.10,1.01764,2146.52
60.20,1.01935,2146.66
60.30,1.02122,2149.29
60.40,1.02293,2150.34
60.50,1.02447,2148.65
60.60,1.02601,2146.18
60.70,1.02771,2146.17
60.80,1.02968,2148.95
60.90,1.03147,2150.95
61.00,1.03309,2149.62
61.10,1.03463,2148.82
61.20,1.03625,2148.89
61.30,1.03813,2150.92
61.40,1.03984,2151.96
61.50,1.04137,2151.25
61.60,1.04291,2150.04
61.70,1.04487,2153.46
61.80,1.04675,2155.57
61.90,1.04829,2154.64
62.00,1.04991,2153.8
62.10,1.05153,2154.21
62.20,1.05333,2156.01
62.30,1.05512,2158.02
62.40,1.05666,2156.8
62.50,1.05811,2155.09
62.60,1.05982,2155.47
62.70,1.06169,2158.07
62.80,1.06366,2161.7
62.90,1.06528,2160.65
63.00,1.06682,2159.08
63.10,1.06844,2158.19
63.20,1.07023,2159.89
63.30,1.07194,2161.36
63.40,1.07356,2161.34
63.50,1.0751,2159.47
63.60,1.07698,2161.98
63.70,1.07885,2164.66
63.80,1.08048,2164.41
63.90,1.0821,2162.76
64.00,1.08372,2162.45
64.10,1.08551,2163.48
64.20,1.08731,2165.13
64.30,1.08893,2164.01
64.40,1.09038,2162.85
64.50,1.09192,2162.21
64.60,1.09388,2164.81
64.70,1.09593,2169.32
64.80,1.09747,2168.24
64.90,1.099,2166.24
65.00,1.10054,2165.66
65.10,1.10233,2166.72
65.20,1.10413,2168.75
65.30,1.10575,2168.64
65.40,1.10729,2166.39
65.50,1.10908,2168.34
65.60,1.11104,2170.21
65.70,1.11267,2170.25
65.80,1.11429,2168.35
65.90,1.11591,2167.64
66.00,1.11762,2168.43
66.10,1.1195,2170.99
66.20,1.12112,2170.29
66.30,1.12257,2168.73
66.40,1.12411,2167.48
66.50,1.1259,2168.09
66.60,1.12795,2172.03
66.70,1.12974,2172.54
66.80,1.13119,2170.08
66.90,1.13281,2169.17
67.00,1.13452,2169.12
67.10,1.13632,2170.45
67.20,1.13802,2171.24
67.30,1.13947,2169.84
67.40,1.14118,2169.55
67.50,1.14315,2171.83
67.60,1.14485,2172.7
67.70,1.14648,2170.18
67.80,1.14801,2169.09
67.90,1.14972,2168.98
68.00,1.15168,2171.49
68.10,1.15339,2172.05
68.20,1.15484,2169.79
68.30,1.15638,2167.77
68.40,1.15809,2168.25
68.50,1.16014,2171.95
68.60,1.16193,2173.81
68.70,1.16338,2171.61
68.80,1.16509,2170.77
68.90,1.16671,2170.09
69.00,1.16842,2170.63
69.10,1.17013,2170.93
69.20,1.17175,2168.78
69.30,1.17337,2165.43
69.40,1.17525,2163.98
69.50,1.17713,2161.68
69.60,1.17866,2154.9
69.70,1.1802,2149.71
69.80,1.18191,2147.25
69.90,1.18379,2149.31
70.00,1.18558,2150.05
70.10,1.18703,2148.38
70.20,1.18848,2146.75
70.30,1.19019,2147.5
70.40,1.19224,2152.15
70.50,1.19412,2155.89
70.60,1.19565,2154.4
70.70,1.19728,2153.94
70.80,1.19881,2154.1
70.90,1.20061,2155.93
71.00,1.20231,2157.59
71.10,1.20385,2157.38
71.20,1.20547,2156.49
71.30,1.20735,2160.31
71.40,1.20923,2163.46
71.50,1.21085,2163.61
71.60,1.21247,2162.96
71.70,1.21401,2162.95
71.80,1.21589,2165.58
71.90,1.21777,2168.54
72.00,1.2193,2167.65
72.10,1.22076,2165.79
72.20,1.22238,2166.29
72.30,1.22426,2169.06
72.40,1.22631,2173.62
72.50,1.22784,2172.98
72.60,1.22938,2171.41
72.70,1.231,2170.92
72.80,1.23271,2172.24
72.90,1.2345,2173.56
73.00,1.23612,2174.06
73.10,1.23766,2173.77
73.20,1.23945,2175.2
73.30,1.24133,2178.29
73.40,1.24304,2179.35
73.50,1.24466,2178.19
73.60,1.2462,2178.11
73.70,1.24799,2178.93
73.80,1.24987,2181.78
73.90,1.25149,2181.71
74.00,1.25294,2172.23
74.10,1.25448,2170.58
74.20,1.25636,2174.33
74.30,1.25849,2181.41
74.40,1.26012,2182.16
74.50,1.26165,2181.32
74.60,1.26319,2181.66
74.70,1.2649,2182.57
74.80,1.2666,2184.08
74.90,1.26823,2184.78
75.00,1.26985,2184.62
75.10,1.27156,2185.87
75.20,1.27352,2188.7
75.30,1.27523,2190.14
75.40,1.27685,2189
75.50,1.27839,2188.2
75.60,1.28018,2189.23
75.70,1.28206,2191.94
75.80,1.28377,2192.45
75.90,1.28522,2190.25
76.00,1.28667,2189.36
76.10,1.28846,2190.49
76.20,1.29068,2195.88
76.30,1.2923,2195.55
76.40,1.29384,2193.18
