Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,7.091,mm
Thickness,7.091,mm
,,
Time,Extension,Load
(s),(mm),(N)
0,3.1,3972.43
0.1,3.1,3974.94
0.2,3.1,3977.11
0.3,3.1,3980.46
0.4,3.1,3983.06
0.5,3.1,3986.41
0.6,3.1,3988.38
0.7,3.1,3991.21
0.8,3.1,3993.94
0.9,3.1,3996.72
1,3.1,3999.25
1.1,3.1,4001.92
1.2,3.1,4005.06
1.3,3.1,4007.2
1.4,3.11,4010.56
1.5,3.11,4012.72
1.6,3.11,4015.59
1.7,3.11,4018.4
1.8,3.11,4020.61
1.9,3.11,4023.64
2,3.11,4026.07
2.1,3.11,4029.06
2.2,3.11,4031.54
2.3,3.11,4034.16
2.4,3.11,4036.99
2.5,3.11,4039.11
2.6,3.11,4042.08
2.7,3.11,4044.64
2.8,3.11,4047.59
2.9,3.11,4050.34
3,3.11,4053.1
3.1,3.11,4055.66
3.2,3.11,4058.35
3.3,3.11,4061.2
3.4,3.11,4063.93
3.5,3.11,4066.61
3.6,3.11,4069.27
3.7,3.11,4072.13
3.8,3.11,4074.52
3.9,3.11,4077.32
4,3.11,4079.94
4.1,3.11,4082.58
4.2,3.11,4085.41
4.3,3.11,4087.89
4.4,3.11,4090.91
4.5,3.11,4093.4
4.6,3.11,4096.27
4.7,3.11,4098.89
4.8,3.11,4101.51
4.9,3.11,4104.12
5,3.11,4106.75
5.1,3.11,4109.97
5.2,3.11,4112.24
5.3,3.11,4115.18
5.4,3.11,4117.65
5.5,3.11,4120.5
5.6,3.11,4122.85
5.7,3.12,4125.25
5.8,3.12,4128.13
5.9,3.12,4131.35
6,3.12,4133.75
6.1,3.12,4136.2
6.2,3.12,4139.01
6.3,3.12,4141.87
6.4,3.12,4144.57
6.5,3.12,4147.34
6.6,3.12,4149.89
6.7,3.12,4152.6
6.8,3.12,4155.31
6.9,3.12,4158.05
7,3.12,4160.66
7.1,3.12,4163.42
7.2,3.12,4165.74
7.3,3.12,4168.57
7.4,3.12,4171.36
7.5,3.12,4174.2
7.6,3.12,4176.81
7.7,3.12,4179.27
7.8,3.12,4182.02
7.9,3.12,4184.72
8,3.12,4187.73
8.1,3.12,4190
8.2,3.12,4193.06
8.3,3.12,4195.99
8.4,3.12,4198.16
8.5,3.12,4200.85
8.6,3.12,4203.52
8.7,3.12,4206.38
8.8,3.12,4209.21
8.9,3.12,4211.76
9,3.12,4214.3
9.1,3.12,4217.28
9.2,3.12,4220.1
9.3,3.12,4222.51
9.4,3.12,4225.19
9.5,3.12,4227.96
9.6,3.12,4230.51
9.7,3.12,4233.16
9.8,3.12,4236.03
9.9,3.12,4238.46
10,3.13,4241.23
10.1,3.13,4244.02
10.2,3.13,4246.29
10.3,3.13,4249.2
10.4,3.13,4251.97
10.5,3.13,4254.78
10.6,3.13,4257.27
10.7,3.13,4260.45
10.8,3.13,4262.6
10.9,3.13,4265.46
11,3.13,4268.3
11.1,3.13,4270.74
11.2,3.13,4273.67
11.3,3.13,4276
11.4,3.13,4279.08
11.5,3.13,4281.67
11.6,3.13,4284.46
11.7,3.13,4286.98
11.8,3.13,4289.81
11.9,3.13,4292.37
12,3.13,4294.9
12.1,3.13,4297.92
12.2,3.13,4300.46
12.3,3.13,4303.37
12.4,3.13,4306.15
12.5,3.13,4308.51
12.6,3.13,4311.29
12.7,3.13,4313.68
12.8,3.13,4316.72
12.9,3.13,4319.13
13,3.13,4322.22
13.1,3.13,4324.9
13.2,3.13,4327.26
13.3,3.13,4330.09
13.4,3.13,4332.62
13.5,3.13,4335.34
13.6,3.13,4337.97
13.7,3.13,4341.04
13.8,3.13,4343.37
13.9,3.13,4346.15
14,3.13,4348.68
14.1,3.13,4351.45
14.2,3.14,4354.07
14.3,3.14,4357.03
14.4,3.14,4359.58
14.5,3.14,4362.05
14.6,3.14,4365.03
14.7,3.14,4367.81
14.8,3.14,4370.81
14.9,3.14,4373.34
15,3.14,4376.1
15.1,3.14,4378.42
15.2,3.14,4380.68
15.3,3.14,4383.86
15.4,3.14,4386.51
15.5,3.14,4389.53
15.6,3.14,4392.61
15.7,3.14,4394.47
15.8,3.14,4397.11
15.9,3.14,4399.79
16,3.14,4402.83
16.1,3.14,4405.23
16.2,3.14,4408.19
16.3,3.14,4410.67
16.4,3.14,4413.79
16.5,3.14,4415.91
16.6,3.14,4418.71
16.7,3.14,4421.37
16.8,3.14,4424.07
16.9,3.14,4426.96
17,3.14,4428.98
17.1,3.14,4431.92
17.2,3.14,4434.83
17.3,3.14,4437.81
17.4,3.14,4439.96
17.5,3.14,4443.44
17.6,3.14,4445.27
17.7,3.14,4447.88
17.8,3.14,4450.86
17.9,3.14,4453.61
18,3.14,4456.46
18.1,3.14,4459.16
18.2,3.14,4461.79
18.3,3.14,4464.39
18.4,3.14,4467.06
18.5,3.15,4469.75
18.6,3.15,4472.25
18.7,3.15,4475.17
18.8,3.15,4477.7
18.9,3.15,4480.59
19,3.15,4482.99
19.1,3.15,4485.79
19.2,3.15,4489.11
19.3,3.15,4491.87
19.4,3.15,4493.47
19.5,3.15,4496.74
19.6,3.15,4499.83
19.7,3.15,4502.46
19.8,3.15,4504.93
19.9,3.15,4506.74
20,3.15,4509.92
20.1,3.15,4512.51
20.2,3.15,4515.18
20.3,3.15,4517.95
20.4,3.15,4521.19
20.5,3.15,4523.77
20.6,3.15,4525.88
20.7,3.15,4528.82
20.8,3.15,4531.4
20.9,3.15,4534.46
21,3.15,4537.05
21.1,3.15,4539.78
21.2,3.15,4542.43
21.3,3.15,4544.54
21.4,3.15,4547.59
21.5,3.15,4550.22
21.6,3.15,4553.2
21.7,3.15,4556.13
21.8,3.15,4558.63
21.9,3.15,4561.17
22,3.15,4564.04
22.1,3.15,4566.65
22.2,3.15,4569.53
22.3,3.15,4572.24
22.4,3.15,4574.57
22.5,3.15,4577.55
22.6,3.15,4580.24
22.7,3.15,4582.94
22.8,3.16,4585.74
22.9,3.16,4588.21
23,3.16,4590.96
23.1,3.16,4593.19
23.2,3.16,4596.02
23.3,3.16,4598.61
23.4,3.16,4601.53
23.5,3.16,4604.16
23.6,3.16,4607.2
23.7,3.16,4609.5
23.8,3.16,4612.66
23.9,3.16,4615.05
24,3.16,4617.17
24.1,3.16,4620.46
24.2,3.16,4622.84
24.3,3.16,4626.08
24.4,3.16,4628.12
24.5,3.16,4630.9
24.6,3.16,4633.82
24.7,3.16,4636.63
24.8,3.16,4639.65
24.9,3.16,4642.3
25,3.16,4645
25.1,3.16,4646.63
25.2,3.16,4649.97
25.3,3.16,4652.54
25.4,3.16,4655.34
25.5,3.16,4658.09
25.6,3.16,4660.71
25.7,3.16,4663.71
25.8,3.16,4666.16
25.9,3.16,4669.02
26,3.16,4671.37
26.1,3.16,4674.14
26.2,3.16,4676.74
26.3,3.16,4679.57
26.4,3.16,4682.21
26.5,3.16,4684.91
26.6,3.16,4687.66
26.7,3.16,4690.54
26.8,3.16,4693.01
26.9,3.16,4696.3
27,3.17,4698.49
27.1,3.17,4700.63
27.2,3.17,4703.27
27.3,3.17,4706.38
27.4,3.17,4708.62
27.5,3.17,4711.64
27.6,3.17,4714.33
27.7,3.17,4717.29
27.8,3.17,4720.08
27.9,3.17,4722.42
28,3.17,4725.05
28.1,3.17,4727.94
28.2,3.17,4730.57
28.3,3.17,4733.24
28.4,3.17,4736.06
28.5,3.17,4738.55
