Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,7.091,mm
Thickness,7.091,mm
,,
Time,Extension,Load
(s),(mm),(N)
26.4,0.16,719.07
26.5,0.16,721.71
26.6,0.16,724.37
26.7,0.16,727.14
26.8,0.16,729.79
26.9,0.16,732.54
27,0.16,735.07
27.1,0.16,737.91
27.2,0.16,740.63
27.3,0.16,743.17
27.4,0.16,745.82
27.5,0.16,748.68
27.6,0.16,751.19
27.7,0.16,753.94
27.8,0.16,756.69
27.9,0.16,759.4
28,0.16,761.94
28.1,0.17,764.68
28.2,0.17,767.34
28.3,0.17,770.03
28.4,0.17,772.74
28.5,0.17,775.4
28.6,0.17,778.21
28.7,0.17,780.84
28.8,0.17,783.51
28.9,0.17,786.17
29,0.17,788.89
29.1,0.17,791.59
29.2,0.17,794.24
29.3,0.17,797.02
29.4,0.17,799.62
29.5,0.17,802.43
29.6,0.17,805
29.7,0.17,807.68
29.8,0.17,810.34
29.9,0.17,813.05
30,0.17,815.81
30.1,0.17,818.54
30.2,0.17,821.01
30.3,0.17,823.82
30.4,0.17,826.44
30.5,0.17,829.17
30.6,0.17,831.85
30.7,0.17,834.56
30.8,0.17,837.26
30.9,0.17,839.95
31,0.17,842.6
31.1,0.17,845.31
31.2,0.17,847.98
31.3,0.18,850.71
31.4,0.18,853.37
31.5,0.18,856.09
31.6,0.18,858.76
31.7,0.18,861.47
31.8,0.18,864.24
31.9,0.18,866.8
32,0.18,869.56
32.1,0.18,872.23
32.2,0.18,874.93
32.3,0.18,877.69
32.4,0.18,880.4
32.5,0.18,883.1
32.6,0.18,885.68
32.7,0.18,888.37
32.8,0.18,891.03
32.9,0.18,893.7
33,0.18,896.38
33.1,0.18,899.07
33.2,0.18,901.78
33.3,0.18,904.53
33.4,0.18,907.18
33.5,0.18,909.84
33.6,0.18,912.55
33.7,0.18,915.25
33.8,0.18,917.9
33.9,0.18,920.57
34,0.18,923.37
34.1,0.18,925.96
34.2,0.18,928.75
34.3,0.18,931.4
34.4,0.18,934.13
34.5,0.18,936.82
34.6,0.19,939.54
34.7,0.19,942.17
34.8,0.19,944.79
34.9,0.19,947.54
35,0.19,950.23
35.1,0.19,952.9
35.2,0.19,955.7
35.3,0.19,958.27
35.4,0.19,960.93
35.5,0.19,963.77
35.6,0.19,966.42
35.7,0.19,968.96
35.8,0.19,971.68
35.9,0.19,974.51
36,0.19,977.03
36.1,0.19,979.74
36.2,0.19,982.37
36.3,0.19,985.15
36.4,0.19,987.87
36.5,0.19,990.54
36.6,0.19,993.23
36.7,0.19,995.9
36.8,0.19,998.72
36.9,0.19,1001.29
37,0.19,1003.99
37.1,0.19,1006.63
37.2,0.19,1009.4
37.3,0.19,1012.04
37.4,0.19,1014.77
37.5,0.19,1017.37
37.6,0.19,1020.09
37.7,0.19,1022.9
37.8,0.19,1025.56
37.9,0.2,1028.2
38,0.2,1030.93
38.1,0.2,1033.54
38.2,0.2,1036.31
38.3,0.2,1038.95
38.4,0.2,1041.7
38.5,0.2,1044.24
38.6,0.2,1046.97
