Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Specimen properties : Width,13,mm
Specimen properties : Thickness,3.58,mm
,,
Time,Extension,Load
(s),(mm),(N)
22.5,-1.57414,291.93
22.6,-1.57363,293.24
22.7,-1.5732,294.50
22.8,-1.57269,295.80
22.9,-1.57218,297.06
23,-1.57167,298.32
23.1,-1.57115,299.61
23.2,-1.57064,300.88
23.3,-1.57013,302.09
23.4,-1.56962,303.35
23.5,-1.56919,304.58
23.6,-1.56868,305.84
23.7,-1.56816,307.06
23.8,-1.56765,308.32
23.9,-1.56723,309.51
24,-1.56671,310.76
24.1,-1.5662,312.04
24.2,-1.56569,313.35
24.3,-1.56518,314.60
24.4,-1.56466,315.89
24.5,-1.56415,317.16
24.6,-1.56364,318.44
24.7,-1.56313,319.69
24.8,-1.5627,320.96
24.9,-1.56219,322.18
25,-1.56168,323.47
25.1,-1.56116,324.69
25.2,-1.56074,325.94
25.3,-1.56022,327.13
25.4,-1.55971,328.38
25.5,-1.5592,329.59
25.6,-1.55877,330.84
25.7,-1.55826,332.08
25.8,-1.55775,333.37
25.9,-1.55724,334.66
26,-1.55672,335.93
26.1,-1.55621,337.21
26.2,-1.5557,338.49
26.3,-1.55519,339.73
26.4,-1.55467,341.04
26.5,-1.55416,342.28
26.6,-1.55374,343.51
26.7,-1.55322,344.80
26.8,-1.55271,346.03
26.9,-1.55228,347.27
27,-1.55177,348.54
27.1,-1.55126,349.71
27.2,-1.55075,350.99
27.3,-1.55032,352.26
27.4,-1.54981,353.53
27.5,-1.5493,354.81
27.6,-1.54878,356.06
27.7,-1.54827,357.36
27.8,-1.54776,358.58
27.9,-1.54733,359.89
28,-1.54682,361.14
28.1,-1.54631,362.39
28.2,-1.5458,363.65
28.3,-1.54537,364.89
28.4,-1.54486,366.15
28.5,-1.54434,367.35
28.6,-1.54392,368.57
28.7,-1.5434,369.84
28.8,-1.54289,371.12
28.9,-1.54238,372.35
29,-1.54195,373.64
29.1,-1.54144,374.90
29.2,-1.54093,376.16
29.3,-1.54042,377.41
29.4,-1.53999,378.70
29.5,-1.53948,379.98
29.6,-1.53896,381.25
29.7,-1.53845,382.51
29.8,-1.53794,383.76
29.9,-1.53751,384.98
30,-1.537,386.25
30.1,-1.53657,387.52
30.2,-1.53606,388.72
30.3,-1.53555,389.99
30.4,-1.53512,391.21
30.5,-1.53461,392.45
30.6,-1.5341,393.67
30.7,-1.53367,394.97
30.8,-1.53316,396.26
30.9,-1.53265,397.52
31,-1.53222,398.80
31.1,-1.53171,400.08
31.2,-1.5312,401.38
31.3,-1.53077,402.66
31.4,-1.53026,403.86
31.5,-1.52974,405.12
31.6,-1.52932,406.38
31.7,-1.5288,407.63
31.8,-1.52838,408.85
31.9,-1.52787,410.10
32,-1.52744,411.30
32.1,-1.52701,412.52
32.2,-1.5265,413.74
32.3,-1.52599,415.03
32.4,-1.52556,416.29
32.5,-1.52505,417.56
32.6,-1.52454,418.84
32.7,-1.52411,420.15
32.8,-1.5236,421.37
32.9,-1.52308,422.63
33,-1.52266,423.91
33.1,-1.52215,425.18
33.2,-1.52172,426.45
33.3,-1.52121,427.71
33.4,-1.52078,428.95
33.5,-1.52027,430.23
33.6,-1.51984,431.45
33.7,-1.51941,432.68
33.8,-1.51899,433.90
33.9,-1.51847,435.16
34,-1.51796,436.45
34.1,-1.51753,437.72
34.2,-1.51711,438.96
34.3,-1.5166,440.23
34.4,-1.51617,441.51
34.5,-1.51566,442.75
34.6,-1.51514,444.02
34.7,-1.51472,445.29
34.8,-1.51429,446.56
34.9,-1.51378,447.82
35,-1.51335,449.09
35.1,-1.51284,450.33
35.2,-1.51241,451.57
35.3,-1.51198,452.82
35.4,-1.51147,454.04
35.5,-1.51105,455.27
35.6,-1.51053,456.49
35.7,-1.51011,457.83
35.8,-1.50959,459.03
35.9,-1.50917,460.30
36,-1.50874,461.59
36.1,-1.50823,462.84
36.2,-1.5078,464.14
36.3,-1.50737,465.39
36.4,-1.50686,466.66
36.5,-1.50644,467.93
36.6,-1.50592,469.18
36.7,-1.5055,470.46
36.8,-1.50507,471.74
36.9,-1.50456,472.95
37,-1.50413,474.16
37.1,-1.5037,475.38
37.2,-1.50328,476.67
37.3,-1.50276,477.90
37.4,-1.50234,479.15
37.5,-1.50191,480.36
37.6,-1.5014,481.61
37.7,-1.50097,482.92
37.8,-1.50054,484.20
37.9,-1.50003,485.46
38,-1.4996,486.76
38.1,-1.49918,488.02
38.2,-1.49867,489.29
38.3,-1.49824,490.54
38.4,-1.49781,491.82
38.5,-1.4973,493.07
38.6,-1.49687,494.30
38.7,-1.49645,495.56
38.8,-1.49602,496.82
38.9,-1.49551,498.01
39,-1.49508,499.27
39.1,-1.49465,500.49
39.2,-1.49423,501.69
39.3,-1.49371,502.96
39.4,-1.49329,504.23
39.5,-1.49286,505.48
39.6,-1.49235,506.77
39.7,-1.49192,508.02
39.8,-1.49149,509.27
39.9,-1.49098,510.61
40,-1.49055,511.84
40.1,-1.49013,513.15
40.2,-1.48962,514.39
40.3,-1.48919,515.63
40.4,-1.48876,516.92
40.5,-1.48833,518.14
40.6,-1.48782,519.40
40.7,-1.4874,520.65
40.8,-1.48697,521.87
40.9,-1.48654,523.14
41,-1.48603,524.37
41.1,-1.4856,525.62
41.2,-1.48518,526.88
41.3,-1.48475,528.15
41.4,-1.48424,529.41
41.5,-1.48381,530.71
41.6,-1.48338,531.94
41.7,-1.48287,533.22
41.8,-1.48244,534.52
41.9,-1.48202,535.74
42,-1.48159,537.02
42.1,-1.48108,538.25
42.2,-1.48065,539.50
42.3,-1.48022,540.75
42.4,-1.4798,542.03
42.5,-1.47928,543.27
42.6,-1.47886,544.47
42.7,-1.47843,545.76
42.8,-1.478,546.99
42.9,-1.47749,548.24
43,-1.47706,549.50
43.1,-1.47664,550.75
43.2,-1.47621,552.02
43.3,-1.4757,553.32
43.4,-1.47527,554.60
43.5,-1.47484,555.86
43.6,-1.47442,557.11
43.7,-1.47391,558.36
43.8,-1.47348,559.61
43.9,-1.47305,560.90
44,-1.47254,562.14
44.1,-1.47211,563.40
44.2,-1.47169,564.65
44.3,-1.47126,565.85
44.4,-1.47083,567.11
44.5,-1.47032,568.38
44.6,-1.46989,569.60
44.7,-1.46947,570.90
44.8,-1.46904,572.10
44.9,-1.46853,573.36
45,-1.4681,574.64
45.1,-1.46759,575.89
45.2,-1.46716,577.17
45.3,-1.46673,578.46
45.4,-1.46631,579.72
45.5,-1.46579,581.01
45.6,-1.46537,582.27
45.7,-1.46494,583.53
45.8,-1.46451,584.79
45.9,-1.464,586.03
46,-1.46357,587.26
46.1,-1.46315,588.50
46.2,-1.46272,589.73
46.3,-1.46229,590.97
46.4,-1.46187,592.16
46.5,-1.46135,593.44
46.6,-1.46093,594.67
46.7,-1.4605,595.93
46.8,-1.45999,597.21
46.9,-1.45956,598.51
47,-1.45914,599.78
47.1,-1.45862,601.02
47.2,-1.4582,602.33
47.3,-1.45777,603.57
47.4,-1.45726,604.83
47.5,-1.45683,606.08
47.6,-1.4564,607.36
47.7,-1.45598,608.61
47.8,-1.45546,609.88
47.9,-1.45504,611.10
48,-1.45461,612.33
48.1,-1.45418,613.55
48.2,-1.45376,614.84
48.3,-1.45324,616.12
48.4,-1.45282,617.30
48.5,-1.4523,618.60
48.6,-1.45188,619.85
48.7,-1.45145,621.17
48.8,-1.45094,622.41
48.9,-1.45051,623.69
49,-1.45008,624.93
49.1,-1.44966,626.24
49.2,-1.44915,627.45
49.3,-1.44872,628.73
49.4,-1.44829,630.02
49.5,-1.44778,631.22
49.6,-1.44735,632.46
49.7,-1.44693,633.71
49.8,-1.4465,634.97
49.9,-1.44607,636.17
50,-1.44556,637.49
50.1,-1.44513,638.70
50.2,-1.44471,639.98
50.3,-1.44419,641.20
50.4,-1.44377,642.47
50.5,-1.44334,643.77
50.6,-1.44283,645.04
50.7,-1.4424,646.31
50.8,-1.44189,647.55
50.9,-1.44146,648.82
51,-1.44103,650.09
51.1,-1.44061,651.33
51.2,-1.4401,652.61
51.3,-1.43967,653.86
51.4,-1.43924,655.09
51.5,-1.43873,656.35
51.6,-1.4383,657.60
51.7,-1.43788,658.83
51.8,-1.43745,660.04
51.9,-1.43694,661.31
52,-1.43651,662.55
52.1,-1.43608,663.82
52.2,-1.43557,665.08
52.3,-1.43514,666.35
52.4,-1.43463,667.65
52.5,-1.4342,668.90
52.6,-1.43378,670.17
52.7,-1.43326,671.47
52.8,-1.43284,672.70
52.9,-1.43241,673.99
53,-1.4319,675.23
53.1,-1.43147,676.47
53.2,-1.43096,677.71
53.3,-1.43053,678.93
53.4,-1.43011,680.21
53.5,-1.42968,681.42
53.6,-1.42925,682.61
53.7,-1.42874,683.85
53.8,-1.42831,685.13
53.9,-1.42789,686.42
54,-1.42737,687.67
54.1,-1.42695,688.93
54.2,-1.42643,690.23
54.3,-1.42601,691.47
54.4,-1.42558,692.76
54.5,-1.42507,694.03
54.6,-1.42464,695.29
54.7,-1.42421,696.57
54.8,-1.4237,697.80
54.9,-1.42328,699.07
55,-1.42285,700.30
55.1,-1.42234,701.57
55.2,-1.42191,702.76
55.3,-1.42148,704.05
55.4,-1.42097,705.27
55.5,-1.42054,706.54
55.6,-1.42003,707.79
55.7,-1.4196,709.06
55.8,-1.41909,710.35
55.9,-1.41867,711.62
56,-1.41815,712.84
56.1,-1.41773,714.14
56.2,-1.4173,715.42
56.3,-1.41679,716.65
56.4,-1.41636,717.93
56.5,-1.41593,719.17
56.6,-1.41542,720.44
56.7,-1.41499,721.67
56.8,-1.41448,722.93
